
JDBC::error: Column 'SystemLoad.CPYearID' is invalid in the select list because it is not contained in either an aggregate function or the GROUP BY clause.

Lookup::invrl: The argument Association[(Apply[#1 -> #2 & , #1, {1}] & )[SQLExecute[conn, systemQuery]]] is not a valid Association or a list of rules.
2016-10-17,14:24,PSEG,PE000008612859214910,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008612859214910,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008613577973136,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008613646246821,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008615039817991,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008616716048780,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008616716048780,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008618594915303,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008618759805750,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008618759805750,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008621055644768,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008624020770098,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008624249266021,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008625581773800,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008625581773800,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008625671660414,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008625671660414,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008625888675698,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008625888675698,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008626084127281,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008626828145428,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008627321657813,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008627331538233,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008627331538233,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008627430538233,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008627430538233,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008628201993726,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008629642373767,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008629982385021,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008630497938245,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008630660259141,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008630838466391,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008632412643587,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008633401810294,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008634538670988,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008636043545896,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008636292843827,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008636584830297,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008636593931151,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008636630935487,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008636630935487,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008637601992385,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008637601992385,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008637903912921,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008638337982219,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008639637126410,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008639902923828,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008639902923828,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008639914417896,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008639914417896,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008640069486949,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008640212093726,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008641031306774,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008641261684033,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008641279866371,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008641848083424,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008641848083424,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008642236740288,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008642248248443,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008643641747923,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008643641747923,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008643994064492,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008644046840417,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008645682970155,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008648861624204,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008650276240417,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008650728216071,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008650728216071,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008650995740417,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008652800734842,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008653631546162,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008653631546162,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008653712361440,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008653712361440,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008653717261428,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008653717261428,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008654212330858,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008657320149595,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008657475343121,2015,LPLP,Null,Times[503.351, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008658435632112,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008660496497772,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008662305543811,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008662305543811,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008663125660990,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008663295720221,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008664336843971,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008665991963414,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008666515576374,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008666897739014,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008667533787600,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008667533787600,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008667673196166,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008667673196166,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008667739086787,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008667739086787,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008667840617689,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008667840617689,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008674309300077,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008675561873985,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008675974326971,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008676471904560,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008676486736984,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008677202743908,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008677497320721,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008677787757953,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008678414791489,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008678414791489,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008678695144856,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008678696944856,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008679922832160,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008679922832160,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008680445756410,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008680445756410,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008681104943891,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008681104943891,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008681185897490,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008682328373933,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008683456118934,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008684608638308,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008687624021931,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008688049935467,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008689924283696,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008690729264251,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008690729264251,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008691325825251,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008691478582273,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008691478582273,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008692701918372,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008692762139966,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008696076238764,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008698026571745,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008698026571745,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008699028068323,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008700007165739,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008700439683542,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008700439683542,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008701938624547,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008701990708006,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008701990708006,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008702687858184,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008702725672224,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008703648993043,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008705159517857,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008708347398618,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008709604671887,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008709939672687,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008712884949871,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008712884949871,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008716645006804,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008716910836266,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008717635042452,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008717644242970,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008717644242970,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008721588551120,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008722237893726,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008722255026722,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008722255026722,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008726087339409,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008728433740812,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008728820535698,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008730787264903,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008730841794807,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008731176746244,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008731176746244,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008731293049350,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008731455560241,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008731802895753,2015,LPLS-INT,Null,0.
2016-10-17,14:24,PSEG,PE000008733064352680,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008733355565154,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008733360526261,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008733968590505,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008738338622767,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008738380883285,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008738380883285,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008739903617186,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008739951529966,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008742984140447,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008745195130995,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008745196930982,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008745323961435,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008745324761435,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008745326261435,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008745327061435,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008748873075566,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008750530169195,2015,LPLS-INT,Null,0.
2016-10-17,14:24,PSEG,PE000008751295035737,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008751336277896,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008751816331152,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008755094340208,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008758907315880,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008759189715880,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008759191315880,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008760316331217,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008760856803913,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008761386588603,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008761452596897,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008762010072331,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008763508215896,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008769075690345,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008769929494970,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008772022346689,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008777828835324,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008779197653092,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008780645128448,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008781209530874,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008782202912114,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008782932160628,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008783090767389,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008784943672226,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008785618347741,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008785937735644,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008787517594048,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008790249098709,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008790599860470,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008790838044189,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008791283806155,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008794198526601,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008794499755632,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008795725483575,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008799454756345,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008800089850597,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008801811410799,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008802190238535,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008802630776717,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008802695047076,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008802796604554,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008802826155693,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008802955829279,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008803114118526,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008803142289431,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008804964851507,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008804982066005,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008806527199270,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008806580099139,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008809562509121,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008810530929844,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008812414465476,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008812415165476,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008814503231455,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008815257479113,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008815436475963,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008815635110866,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008817108751108,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008817248114686,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008819096207874,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008822305225866,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008825698717878,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008826368610866,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008826829750478,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008827161429972,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008827500361881,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008828360120540,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008831440618184,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008836478150614,2014,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008837131521688,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008838026694482,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008841822392601,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008843987213990,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008844033402011,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008844487209462,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008845458256166,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008846306289087,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008846806135750,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008847026541313,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008847374907603,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008847643700571,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008847647893635,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008851956648081,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008851978057103,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008853513367119,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008853513367119,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008856250991520,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008857030496934,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008857030496934,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008857031296934,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008857031296934,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008858607817974,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008859543413993,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008859989918294,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008860270118798,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008860650430714,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008862334378080,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008863703800847,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008866024623567,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008868729851809,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008869052444540,2015,LPLS-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008870690838233,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008870690838233,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008871253443827,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008871253443827,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008873402585050,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008873942038245,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008874099885039,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008874099885039,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008877259522161,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008877956602475,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008879693315664,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008879705501742,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008879943230152,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008880074331654,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008880984373685,2015,LPLS-NON,LPLS,0.
2016-10-17,14:24,PSEG,PE000008881699665532,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008881967743827,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008881967743827,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008882851296415,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008882851296415,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008884422092556,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008884546686584,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008884572263745,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008885086287851,2015,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008885104387426,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008885504484505,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008888717963443,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008888751850897,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008889397957837,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008889397957837,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008890545028688,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008896084478270,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008898001673415,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008900635741115,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008901059942067,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008902038284264,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008903194222323,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008903194222323,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008903670177387,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008903677694614,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008905617076927,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008906788820244,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008906908279701,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008907170812760,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008907170812760,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008907177347784,2015,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008907177347784,2016,GLP-NON,Null,0.
2016-10-17,14:24,PSEG,PE000008907266429717,2016,GLP-NON,GLP,0.
2016-10-17,14:24,PSEG,PE000008907757243971,2015,GLP-NON,Null,0.
